frame,time_s,left_vertical_dist,right_vertical_dist,height_diff,bonus_flag,bonus_reason
20,0.8,198.0,186.0,12.0,0,Foot height diff 12.0px < threshold. NO BONUS.
21,0.84,203.0,187.0,16.0,0,Foot height diff 16.0px < threshold. NO BONUS.
22,0.88,204.0,191.0,13.0,0,Foot height diff 13.0px < threshold. NO BONUS.
23,0.92,204.0,193.0,11.0,0,Foot height diff 11.0px < threshold. NO BONUS.
24,0.96,204.0,194.0,10.0,0,Foot height diff 10.0px < threshold. NO BONUS.
25,1.0,204.0,188.0,16.0,0,Foot height diff 16.0px < threshold. NO BONUS.
26,1.04,203.0,188.0,15.0,0,Foot height diff 15.0px < threshold. NO BONUS.
27,1.08,203.0,188.0,15.0,0,Foot height diff 15.0px < threshold. NO BONUS.
28,1.12,203.0,187.0,16.0,0,Foot height diff 16.0px < threshold. NO BONUS.
29,1.16,203.0,187.0,16.0,0,Foot height diff 16.0px < threshold. NO BONUS.
30,1.2,203.0,187.0,16.0,0,Foot height diff 16.0px < threshold. NO BONUS.
31,1.24,202.0,186.0,16.0,0,Foot height diff 16.0px < threshold. NO BONUS.
32,1.28,202.0,185.0,17.0,0,Foot height diff 17.0px < threshold. NO BONUS.
33,1.32,202.0,185.0,17.0,0,Foot height diff 17.0px < threshold. NO BONUS.
35,1.4,211.0,187.0,24.0,1,Foot height diff 24.0px >= threshold 20. BONUS.
36,1.44,204.0,182.0,22.0,1,Foot height diff 22.0px >= threshold 20. BONUS.
37,1.48,193.0,191.0,2.0,0,Foot height diff 2.0px < threshold. NO BONUS.
38,1.52,191.0,191.0,0.0,0,Foot height diff 0.0px < threshold. NO BONUS.
39,1.56,191.0,191.0,0.0,0,Foot height diff 0.0px < threshold. NO BONUS.
40,1.6,193.0,170.0,23.0,1,Foot height diff 23.0px >= threshold 20. BONUS.
41,1.64,192.0,181.0,11.0,0,Foot height diff 11.0px < threshold. NO BONUS.
42,1.68,193.0,196.0,3.0,0,Foot height diff 3.0px < threshold. NO BONUS.
43,1.72,192.0,194.0,2.0,0,Foot height diff 2.0px < threshold. NO BONUS.
45,1.8,211.0,187.0,24.0,1,Foot height diff 24.0px >= threshold 20. BONUS.
46,1.84,204.0,182.0,22.0,1,Foot height diff 22.0px >= threshold 20. BONUS.
47,1.88,193.0,191.0,2.0,0,Foot height diff 2.0px < threshold. NO BONUS.
48,1.92,191.0,191.0,0.0,0,Foot height diff 0.0px < threshold. NO BONUS.
49,1.96,191.0,191.0,0.0,0,Foot height diff 0.0px < threshold. NO BONUS.
50,2.0,193.0,170.0,23.0,1,Foot height diff 23.0px >= threshold 20. BONUS.
51,2.04,192.0,181.0,11.0,0,Foot height diff 11.0px < threshold. NO BONUS.
52,2.08,193.0,196.0,3.0,0,Foot height diff 3.0px < threshold. NO BONUS.
53,2.12,192.0,194.0,2.0,0,Foot height diff 2.0px < threshold. NO BONUS.
55,2.2,211.0,187.0,24.0,1,Foot height diff 24.0px >= threshold 20. BONUS.
56,2.24,204.0,182.0,22.0,1,Foot height diff 22.0px >= threshold 20. BONUS.
57,2.28,193.0,191.0,2.0,0,Foot height diff 2.0px < threshold. NO BONUS.
58,2.32,191.0,191.0,0.0,0,Foot height diff 0.0px < threshold. NO BONUS.
59,2.36,191.0,191.0,0.0,0,Foot height diff 0.0px < threshold. NO BONUS.
60,2.4,193.0,170.0,23.0,1,Foot height diff 23.0px >= threshold 20. BONUS.
