frame,time_s,left_height_px,right_height_px,left_on_mat,right_on_mat,height_diff,bonus_flag,bonus_reason
39,1.56,15,-68,1,1,83,1,Height diff: 83.0px
40,1.6,11,-64,1,1,75,1,Height diff: 75.0px
41,1.64,-3,-65,1,1,62,1,Height diff: 62.0px
42,1.68,1,-65,1,1,66,1,Height diff: 66.0px
43,1.72,3,-65,1,1,68,1,Height diff: 68.0px
44,1.76,4,-66,1,1,70,1,Height diff: 70.0px
45,1.8,2,-67,1,1,69,1,Height diff: 69.0px
46,1.84,1,-67,1,1,68,1,Height diff: 68.0px
47,1.88,-1,-67,1,1,66,1,Height diff: 66.0px
48,1.92,-1,-67,1,1,66,1,Height diff: 66.0px
49,1.96,-1,-67,1,1,66,1,Height diff: 66.0px
50,2.0,-1,-67,1,1,66,1,Height diff: 66.0px
51,2.04,0,-68,1,1,68,1,Height diff: 68.0px
52,2.08,3,-67,1,1,70,1,Height diff: 70.0px
53,2.12,4,-66,1,1,70,1,Height diff: 70.0px
54,2.16,5,-66,1,1,71,1,Height diff: 71.0px
55,2.2,5,-66,1,1,71,1,Height diff: 71.0px
56,2.24,6,-66,1,1,72,1,Height diff: 72.0px
57,2.28,7,-66,1,1,73,1,Height diff: 73.0px
58,2.32,7,-66,1,1,73,1,Height diff: 73.0px
59,2.36,7,-66,1,1,73,1,Height diff: 73.0px
60,2.4,-16,-87,1,1,71,1,Height diff: 71.0px
61,2.44,-19,-87,1,1,68,1,Height diff: 68.0px
62,2.48,-21,-87,1,1,66,1,Height diff: 66.0px
63,2.52,-20,-87,1,1,67,1,Height diff: 67.0px
64,2.56,-22,-87,1,1,65,1,Height diff: 65.0px
65,2.6,-27,-87,1,1,60,1,Height diff: 60.0px
66,2.64,-28,-87,1,1,59,1,Height diff: 59.0px
67,2.68,-29,-87,1,1,58,1,Height diff: 58.0px
68,2.72,-29,-87,1,1,58,1,Height diff: 58.0px
69,2.76,-28,-88,1,1,60,1,Height diff: 60.0px
70,2.8,-28,-88,1,1,60,1,Height diff: 60.0px
71,2.84,-25,-88,1,1,63,1,Height diff: 63.0px
72,2.88,-23,-88,1,1,65,1,Height diff: 65.0px
73,2.92,-20,-88,1,1,68,1,Height diff: 68.0px
74,2.96,-19,-88,1,1,69,1,Height diff: 69.0px
76,3.04,-98,-83,1,1,15,0,Diff 15.0px too low
77,3.08,-91,-83,1,1,8,0,Diff 8.0px too low
78,3.12,-91,-84,1,1,7,0,Diff 7.0px too low
79,3.16,-91,-84,1,1,7,0,Diff 7.0px too low
80,3.2,-86,-96,1,1,10,0,Diff 10.0px too low
81,3.24,-83,-99,1,1,16,0,Diff 16.0px too low
82,3.28,-83,-97,1,1,14,0,Diff 14.0px too low
83,3.32,-82,-96,1,1,14,0,Diff 14.0px too low
84,3.36,-82,-98,1,1,16,0,Diff 16.0px too low
85,3.4,-82,-98,1,1,16,0,Diff 16.0px too low
86,3.44,-82,-98,1,1,16,0,Diff 16.0px too low
87,3.48,-82,-99,1,1,17,0,Diff 17.0px too low
88,3.52,-82,-98,1,1,16,0,Diff 16.0px too low
89,3.56,-87,-85,1,1,2,0,Diff 2.0px too low
90,3.6,-86,-83,1,1,3,0,Diff 3.0px too low
91,3.64,-84,-92,1,1,8,0,Diff 8.0px too low
92,3.68,-87,-92,1,1,5,0,Diff 5.0px too low
93,3.72,-91,-84,1,1,7,0,Diff 7.0px too low
94,3.76,-93,-83,1,1,10,0,Diff 10.0px too low
95,3.8,-95,-82,1,1,13,0,Diff 13.0px too low
96,3.84,-95,-82,1,1,13,0,Diff 13.0px too low
97,3.88,-95,-82,1,1,13,0,Diff 13.0px too low
98,3.92,-95,-82,1,1,13,0,Diff 13.0px too low
99,3.96,-95,-82,1,1,13,0,Diff 13.0px too low
100,4.0,-95,-82,1,1,13,0,Diff 13.0px too low
101,4.04,-87,-92,1,1,5,0,Diff 5.0px too low
102,4.08,-84,-95,1,1,11,0,Diff 11.0px too low
103,4.12,-83,-96,1,1,13,0,Diff 13.0px too low
104,4.16,-83,-97,1,1,14,0,Diff 14.0px too low
105,4.2,-83,-98,1,1,15,0,Diff 15.0px too low
106,4.24,-84,-97,1,1,13,0,Diff 13.0px too low
107,4.28,-85,-97,1,1,12,0,Diff 12.0px too low
108,4.32,-85,-97,1,1,12,0,Diff 12.0px too low
109,4.36,-88,-86,1,1,2,0,Diff 2.0px too low
110,4.4,-91,-83,1,1,8,0,Diff 8.0px too low
111,4.44,-92,-82,1,1,10,0,Diff 10.0px too low
112,4.48,-93,-82,1,1,11,0,Diff 11.0px too low
113,4.52,-96,-83,1,1,13,0,Diff 13.0px too low
114,4.56,-97,-83,1,1,14,0,Diff 14.0px too low
115,4.6,-98,-83,1,1,15,0,Diff 15.0px too low
116,4.64,-98,-83,1,1,15,0,Diff 15.0px too low
117,4.68,-98,-83,1,1,15,0,Diff 15.0px too low
118,4.72,-98,-83,1,1,15,0,Diff 15.0px too low
119,4.76,-98,-83,1,1,15,0,Diff 15.0px too low
120,4.8,-98,-83,1,1,15,0,Diff 15.0px too low
