frame,time_s,left_y,right_y,left_on_ground,right_on_ground,height_diff,bonus_flag
17,0.68,321,308,0,0,13,0
18,0.72,321,309,0,0,12,0
19,0.76,321,311,0,0,10,0
20,0.8,322,311,0,0,11,0
21,0.84,322,311,0,0,11,0
22,0.88,322,311,0,0,11,0
23,0.92,322,311,0,0,11,0
24,0.96,322,312,0,0,10,0
25,1.0,322,312,0,0,10,0
26,1.04,322,312,0,0,10,0
27,1.08,322,312,0,0,10,0
28,1.12,322,312,0,0,10,0
29,1.16,322,313,0,0,9,0
30,1.2,322,313,0,0,9,0
31,1.24,322,313,0,0,9,0
32,1.28,322,313,0,0,9,0
33,1.32,322,313,0,0,9,0
34,1.36,322,313,0,0,9,0
35,1.4,322,313,0,0,9,0
36,1.44,322,313,0,0,9,0
37,1.48,322,313,0,0,9,0
38,1.52,322,313,0,0,9,0
39,1.56,322,313,0,0,9,0
40,1.6,323,311,0,0,12,0
41,1.64,323,310,0,0,13,0
42,1.68,323,309,0,0,14,0
43,1.72,323,308,0,0,15,0
44,1.76,323,308,0,0,15,0
45,1.8,323,308,0,0,15,0
46,1.84,323,308,0,0,15,0
47,1.88,323,308,0,0,15,0
48,1.92,323,308,0,0,15,0
49,1.96,323,308,0,0,15,0
50,2.0,323,308,0,0,15,0
51,2.04,323,308,0,0,15,0
52,2.08,323,308,0,0,15,0
53,2.12,323,308,0,0,15,0
54,2.16,323,308,0,0,15,0
55,2.2,323,308,0,0,15,0
56,2.24,323,308,0,0,15,0
57,2.28,323,308,0,0,15,0
58,2.32,323,308,0,0,15,0
59,2.36,323,308,0,0,15,0
60,2.4,323,308,0,0,15,0
61,2.44,323,308,0,0,15,0
62,2.48,323,308,0,0,15,0
63,2.52,323,308,0,0,15,0
64,2.56,323,308,0,0,15,0
65,2.6,323,308,0,0,15,0
77,3.08,328,309,0,0,19,0
78,3.12,331,310,0,0,21,0
79,3.16,335,310,0,0,25,0
80,3.2,335,309,0,0,26,0
81,3.24,334,309,0,0,25,0
82,3.28,334,309,0,0,25,0
83,3.32,334,309,0,0,25,0
84,3.36,334,309,0,0,25,0
85,3.4,334,310,0,0,24,0
86,3.44,334,309,0,0,25,0
87,3.48,334,309,0,0,25,0
88,3.52,334,309,0,0,25,0
89,3.56,334,309,0,0,25,0
90,3.6,334,309,0,0,25,0
91,3.64,334,309,0,0,25,0
92,3.68,334,309,0,0,25,0
93,3.72,334,309,0,0,25,0
112,4.48,320,321,0,0,1,0
113,4.52,317,321,0,0,4,0
114,4.56,318,321,0,0,3,0
115,4.6,318,320,0,0,2,0
116,4.64,319,320,0,0,1,0
117,4.68,318,320,0,0,2,0
118,4.72,318,320,0,0,2,0
119,4.76,317,320,0,0,3,0
120,4.8,318,321,0,0,3,0
121,4.84,318,321,0,0,3,0
122,4.88,318,321,0,0,3,0
123,4.92,318,323,0,0,5,0
124,4.96,317,324,0,0,7,0
125,5.0,317,324,0,0,7,0
